classid,isbn1,isbn_url1,isbn2,isbn_url2,isbn3,isbn_url3,isbn4,isbn_url4,isbn5,isbn_url5,isbn6,isbn_url6,isbn7,isbn_url7,isbn8,isbn_url8,isbn9,isbn_url9,isbn10,isbn_url10
1ABA00010,978-4-86693-388-7,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-86693-388-7,978-4297119850,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4297119850,978-4774191836,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4774191836,978-4295008460,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4295008460,978-4815604837,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4815604837,978-4295015598,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4295015598,,,,,,,,
1ABA00020,,,,,,,,,,,,,,,,,,,,
1ABA00310,978-4-254-42044-9,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-254-42044-9,,,,,,,,,,,,,,,,,,
1ABA00340,9784254410433,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784254410433,9784540151019,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784540151019,9784540161193,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784540161193,9784540161315,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784540161315,,,,,,,,,,,,
1ABA00350,,,,,,,,,,,,,,,,,,,,
1ABA01040,,,,,,,,,,,,,,,,,,,,
1ABA01060,978-4-254-44501-5,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-254-44501-5,978-4-320-04704-4,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-320-04704-4,978-4339056280,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4339056280,978-4274024627,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4274024627,978-4254264784,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4254264784,978-4-254-26136-3,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-254-26136-3,978-4-06-155221-0,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-06-155221-0,978-4-621-08578-3,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-621-08578-3,978-4834083514,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4834083514,978-4834085976,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4834085976 
1ABA01100,,,,,,,,,,,,,,,,,,,,
1ABA01170,,,,,,,,,,,,,,,,,,,,
1ABA01230,,,,,,,,,,,,,,,,,,,,
1ABA01320,,,,,,,,,,,,,,,,,,,,
1ABA01410,,,,,,,,,,,,,,,,,,,,
1ABA01660,,,,,,,,,,,,,,,,,,,,
1ABA01830,978-4-540-11204-1,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-540-11204-1,978-4-540-12208-8,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-540-12208-8,978-4-540-11205-8,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-540-11205-8,,,,,,,,,,,,,,
1ABA01840,,,,,,,,,,,,,,,,,,,,
1ABA01850,,,,,,,,,,,,,,,,,,,,
1ABA01920,4807905635,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=4807905635,,,,,,,,,,,,,,,,,,
1ABA02060,,,,,,,,,,,,,,,,,,,,
1ABA02100,,,,,,,,,,,,,,,,,,,,
1ABA04001,9784254450262,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784254450262,,,,,,,,,,,,,,,,,,
1ABA07002,978-4-8082-6078-1,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-8082-6078-1,978-4-7581-1352-6,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-7581-1352-6,,,,,,,,,,,,,,,,
1ABA10000,,,,,,,,,,,,,,,,,,,,
1ABA10001,,,,,,,,,,,,,,,,,,,,
1ABA10002,978-4-86671-110-2,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-86671-110-2,978-4-06-153732-3,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-06-153732-3,978-4-8300-3288-2,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-8300-3288-2,,,,,,,,,,,,,,
1ABA10004,978-4876985791,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4876985791,978-4320057869,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4320057869,978-4807907830,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4807907830,978-4274203428,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4274203428,978-4062578769,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4062578769,,,,,,,,,,
1ABA10006,,,,,,,,,,,,,,,,,,,,
1ABA10008,,,,,,,,,,,,,,,,,,,,
1ABA10009,,,,,,,,,,,,,,,,,,,,
1ABA10010,,,,,,,,,,,,,,,,,,,,
1ABA10011,,,,,,,,,,,,,,,,,,,,
1ABA10013,978 4523172765,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978 4523172765,,,,,,,,,,,,,,,,,,
1ABA10014,,,,,,,,,,,,,,,,,,,,
1ABA10015,978-4759811766,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4759811766,,,,,,,,,,,,,,,,,,
1ABA10017,9784759811018,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784759811018,4759820485,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=4759820485,,,,,,,,,,,,,,,,
1ABA10019,978-4830041198,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4830041198,,,,,,,,,,,,,,,,,,
1ABA10020,9784895310772,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784895310772,9784785358495,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784785358495,4807906240,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=4807906240,9784895927161,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784895927161,9784895928052,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784895928052,,,,,,,,,,
1ABA10021,,,,,,,,,,,,,,,,,,,,
1ABA10022,9784759811094,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784759811094,9784274068553,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784274068553,9784807908592,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784807908592,9784274067570,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784274067570,9784274065705,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784274065705,,,,,,,,,,
1ABA10023,,,,,,,,,,,,,,,,,,,,
1ABA10025,,,,,,,,,,,,,,,,,,,,
1ABA10026,,,,,,,,,,,,,,,,,,,,
1ABA10028,,,,,,,,,,,,,,,,,,,,
1ABA10029,,,,,,,,,,,,,,,,,,,,
1ABA10030,,,,,,,,,,,,,,,,,,,,
1ABA10032,,,,,,,,,,,,,,,,,,,,
1ABA10033,,,,,,,,,,,,,,,,,,,,
1ABA10034,,,,,,,,,,,,,,,,,,,,
1ABA10035,978-4-524-25417-0,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-524-25417-0,,,,,,,,,,,,,,,,,,
1ABA10037,,,,,,,,,,,,,,,,,,,,
1ABA10039,,,,,,,,,,,,,,,,,,,,
1ABA10042,,,,,,,,,,,,,,,,,,,,
1ABA10043,,,,,,,,,,,,,,,,,,,,
1ABA10044,978-4-8425-0083-6 C3061,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4-8425-0083-6 C3061,978-4901311540,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=978-4901311540,,,,,,,,,,,,,,,,
1ABA10050,9784759811094,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784759811094,9784274068553,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784274068553,9784807908592,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784807908592,9784274067570,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784274067570,9784274065705,http://opac.lib.gifu-u.ac.jp/opc/xc/search/*?os[isbn]=9784274065705,,,,,,,,,,
